index,time_from_start,joint1,joint2,joint3,joint4,joint5,joint6,velocity1,velocity2,velocity3,velocity4,velocity5,velocity6,acceleration1,acceleration2,acceleration3,acceleration4,acceleration5,acceleration6
56,9.587784,-0.17613990,-0.25171200,-0.24685296,0.00001548,0.49856497,-0.17615352,-0.00802161,0.07554875,-0.08520596,-0.00000026,0.00965721,-0.00802132,0.04068781,-0.00567080,-0.00148244,-0.00000025,0.00715324,0.04068806
57,9.758441,-0.17691812,-0.23890280,-0.26141493,0.00001543,0.50031774,-0.17693169,-0.00126898,0.07443514,-0.08532456,-0.00000032,0.01088942,-0.00126863,0.03870890,-0.00727024,0.00005343,-0.00000026,0.00721681,0.03870916
58,9.929082,-0.17657300,-0.22630742,-0.27597408,0.00001537,0.50228151,-0.17658650,0.00518967,0.07306743,-0.08518772,-0.00000035,0.01212029,0.00519005,0.03712149,-0.00869126,0.00153036,-0.00000009,0.00716090,0.03712166
59,10.099192,-0.17514974,-0.21400507,-0.29044265,0.00001531,0.50444773,-0.17516318,0.01138017,0.07147359,-0.08480309,-0.00000035,0.01332950,0.01138058,0.03578800,-0.00997134,0.00295627,-0.00000010,0.00701499,0.03578827
60,10.268292,-0.17271274,-0.20206291,-0.30474008,0.00001525,0.50680300,-0.17272610,0.01732929,0.06968506,-0.08418493,-0.00000039,0.01449984,0.01732977,0.03475328,-0.01113934,0.00436954,-0.00000020,0.00676972,0.03475348
61,10.435925,-0.16931439,-0.19053979,-0.31879052,0.00001518,0.50933031,-0.16932767,0.02308276,0.06772260,-0.08333172,-0.00000042,0.01560909,0.02308324,0.03401621,-0.01230529,0.00578283,-0.00000021,0.00652264,0.03401633
62,10.601607,-0.16501890,-0.17948992,-0.33251583,0.00001511,0.51200575,-0.16503210,0.02866742,0.06558351,-0.08225742,-0.00000046,0.01667394,0.02866794,0.03357919,-0.01352039,0.00719255,-0.00000023,0.00632803,0.03357942
63,10.764938,-0.15988244,-0.16896197,-0.34585427,0.00001503,0.51481625,-0.15989555,0.03413074,0.06327422,-0.08096528,-0.00000049,0.01769109,0.03413130,0.03349255,-0.01473125,0.00867193,-0.00000005,0.00605913,0.03349270
64,10.925444,-0.15396612,-0.15899942,-0.35873534,0.00001495,0.51773477,-0.15397914,0.03951353,0.06081300,-0.07944913,-0.00000047,0.01863610,0.03951409,0.03375701,-0.01598638,0.01022028,0.00000004,0.00576601,0.03375709
65,11.082701,-0.14732649,-0.14963783,-0.37110029,0.00001488,0.52073812,-0.14733942,0.04485749,0.05819433,-0.07771765,-0.00000048,0.01952331,0.04485806,0.03444911,-0.01740066,0.01185554,-0.00000018,0.00554533,0.03444919
66,11.236270,-0.14002321,-0.14091106,-0.38289207,0.00001480,0.52380314,-0.14003605,0.05022123,0.05540440,-0.07576411,-0.00000053,0.02035974,0.05022183,0.03564260,-0.01900440,0.01362285,-0.00000020,0.00538144,0.03564271
67,11.385701,-0.13210946,-0.13285030,-0.39405681,0.00001472,0.52690712,-0.13212221,0.05565719,0.05243600,-0.07358992,-0.00000054,0.02115389,0.05565780,0.03740758,-0.02085085,0.01555137,-0.00000012,0.00529937,0.03740783
68,11.530559,-0.12364393,-0.12547974,-0.40454875,0.00001464,0.53002849,-0.12365659,0.06122986,0.04926824,-0.07118752,-0.00000056,0.02191929,0.06123053,0.03753132,-0.02475478,0.02025739,-0.00000012,0.00449751,0.03753145
69,11.670361,-0.11467975,-0.11882559,-0.41432107,0.00001456,0.53314667,-0.11469231,0.06634087,0.04538930,-0.06782345,-0.00000058,0.02243415,0.06634152,0.02921125,-0.03359834,0.03261062,0.00000008,0.00098759,0.02921106
70,11.807569,-0.10526686,-0.11290646,-0.42333651,0.00001448,0.53624297,-0.10527934,0.06932167,0.03996117,-0.06215406,-0.00000054,0.02219286,0.06932228,0.01553299,-0.04183758,0.04540946,0.00000030,-0.00357189,0.01553282
71,11.947621,-0.09545963,-0.10774596,-0.43155390,0.00001441,0.53929986,-0.09547202,0.07064754,0.03378941,-0.05523322,-0.00000050,0.02144381,0.07064814,0.00870347,-0.04300223,0.04835714,0.00000019,-0.00535478,0.00870327
72,12.090140,-0.08530391,-0.10335855,-0.43894382,0.00001434,0.54230237,-0.08531622,0.07178101,0.02780998,-0.04848973,-0.00000049,0.02067975,0.07178157,0.00725352,-0.04111464,0.04645980,0.00000005,-0.00534528,0.00725334
73,12.234732,-0.07485049,-0.09976140,-0.44547585,0.00001427,0.54523725,-0.07486272,0.07273011,0.02198494,-0.04189409,-0.00000048,0.01990912,0.07273066,0.00593943,-0.03967742,0.04497778,0.00000016,-0.00530037,0.00593939
74,12.381052,-0.06414582,-0.09696286,-0.45113133,0.00001420,0.54809418,-0.06415797,0.07350887,0.01626733,-0.03540514,-0.00000044,0.01913781,0.07350941,0.00475200,-0.03869631,0.04392263,0.00000015,-0.00522597,0.00475185
75,12.528764,-0.05323660,-0.09497830,-0.45588606,0.00001414,0.55086436,-0.05324867,0.07412735,0.01060702,-0.02897948,-0.00000044,0.01837252,0.07412785,0.00362619,-0.03795620,0.04304536,0.00000013,-0.00508917,0.00362594
76,12.677560,-0.04216651,-0.09381780,-0.45972396,0.00001407,0.55354177,-0.04217851,0.07458406,0.00501303,-0.02264187,-0.00000040,0.01762883,0.07458453,0.00256520,-0.03743277,0.04232347,0.00000024,-0.00489103,0.00256508
77,12.827100,-0.03098547,-0.09348273,-0.46264095,0.00001402,0.55612368,-0.03099740,0.07489264,-0.00056053,-0.01635285,-0.00000037,0.01691335,0.07489311,0.00158530,-0.03724586,0.04189401,0.00000012,-0.00464815,0.00158518
78,12.977131,-0.01973080,-0.09398572,-0.46462281,0.00001396,0.55860853,-0.01974266,0.07505897,-0.00614477,-0.01009161,-0.00000037,0.01623638,0.07505941,0.00059907,-0.03726698,0.04159254,0.00000011,-0.00432544,0.00059885
79,13.127337,-0.00844995,-0.09532762,-0.46567083,0.00001391,0.56099845,-0.00846175,0.07507250,-0.01174948,-0.00386521,-0.00000033,0.01561469,0.07507290,-0.00036952,-0.03746012,0.04138163,0.00000011,-0.00392151,-0.00036963
80,13.277423,0.00281284,-0.09751399,-0.46578350,0.00001386,0.56329749,0.00280110,0.07494801,-0.01739373,0.00233494,-0.00000033,0.01505878,0.07494841,-0.00131331,-0.03785619,0.04129240,-0.00000001,-0.00343621,-0.00131341
81,13.427130,0.01401895,-0.10054214,-0.46497083,0.00001381,0.56551297,0.01400727,0.07467878,-0.02309851,0.00851397,-0.00000033,0.01458454,0.07467915,-0.00228746,-0.03850229,0.04135628,-0.00000001,-0.00285399,-0.00228756
82,13.576138,0.02512051,-0.10441386,-0.46324025,0.00001376,0.56765411,0.02510888,0.07426471,-0.02889494,0.01468868,-0.00000034,0.01420625,0.07426508,-0.00326733,-0.03940230,0.04157198,0.00000010,-0.00216967,-0.00326732
83,13.724188,0.03607982,-0.10912559,-0.46060745,0.00001371,0.56973304,0.03606825,0.07370820,-0.03480325,0.02086323,-0.00000031,0.01394002,0.07370857,-0.00430962,-0.04056236,0.04191917,0.00000021,-0.00135681,-0.00430983
84,13.870967,0.04685181,-0.11467486,-0.45708917,0.00001367,0.57176403,0.04684029,0.07299411,-0.04085389,0.02704766,-0.00000027,0.01380622,0.07299442,-0.00542590,-0.04201997,0.04246515,0.00000010,-0.00044529,-0.00542599
85,14.016157,0.05739184,-0.12105366,-0.45271037,0.00001363,0.57376403,0.05738036,0.07212400,-0.04707178,0.03326173,-0.00000028,0.01381001,0.07212435,-0.00657717,-0.04385764,0.04319062,-0.00000003,0.00066689,-0.00657690
86,14.159452,0.06765850,-0.12825436,-0.44749366,0.00001359,0.57574801,0.06764708,0.07109670,-0.05350616,0.03950751,-0.00000028,0.01399861,0.07109708,-0.00784441,-0.04622557,0.04415267,-0.00000016,0.00207302,-0.00784437
87,14.300528,0.07760968,-0.13626926,-0.44147558,0.00001355,0.57774483,0.07759831,0.06989328,-0.06021699,0.04581747,-0.00000032,0.01439952,0.06989364,-0.01204603,-0.04647985,0.04345116,-0.00000016,0.00302882,-0.01204613
88,14.439002,0.08719719,-0.14508804,-0.43468537,0.00001350,0.57977340,0.08718587,0.06772922,-0.06649961,0.05165429,-0.00000032,0.01484532,0.06772958,-0.02359528,-0.03782727,0.03550399,0.00000014,0.00232328,-0.02359530
89,14.577624,0.09637718,-0.15469604,-0.42716238,0.00001346,0.58185841,0.09636591,0.06335512,-0.07069878,0.05565549,-0.00000028,0.01504329,0.06335547,-0.03499426,-0.02421702,0.02312327,0.00000006,0.00109387,-0.03499433
90,14.721692,0.10510706,-0.16507389,-0.41895211,0.00001342,0.58402599,0.10509584,0.05783669,-0.07334553,0.05819101,-0.00000031,0.01515455,0.05783703,-0.03700786,-0.01754593,0.01609459,-0.00000016,0.00145134,-0.03700772
91,14.870915,0.11334019,-0.17620766,-0.41009545,0.00001337,0.58630311,0.11332902,0.05250103,-0.07584485,0.06037590,-0.00000033,0.01546896,0.05250142,-0.03470772,-0.01595772,0.01325129,-0.00000004,0.00270621,-0.03470747
92,15.024994,0.12103071,-0.18807776,-0.40064000,0.00001332,0.58871775,0.12101961,0.04730978,-0.07818553,0.06221015,-0.00000032,0.01597535,0.04731020,-0.03294360,-0.01451322,0.01071041,-0.00000004,0.00380281,-0.03294367
93,15.183592,0.12813286,-0.20065446,-0.39064378,0.00001327,0.59129823,0.12812182,0.04220033,-0.08038280,0.06372479,-0.00000034,0.01665801,0.04220070,-0.03159270,-0.01321295,0.00845714,-0.00000004,0.00475600,-0.03159277
94,15.346468,0.13459703,-0.21391876,-0.38015412,0.00001321,0.59407287,0.13458605,0.03715354,-0.08243315,0.06492890,-0.00000033,0.01750428,0.03715393,-0.03055545,-0.01196756,0.00637130,-0.00000004,0.00559626,-0.03055523
95,15.513278,0.14038185,-0.22783149,-0.36923765,0.00001316,0.59706914,0.14037094,0.03212664,-0.08432833,0.06582532,-0.00000036,0.01850301,0.03212708,-0.02978966,-0.01081070,0.00448217,-0.00000013,0.00632836,-0.02978937
96,15.683742,0.14543250,-0.24236049,-0.35795297,0.00001309,0.60031345,0.14542167,0.02710627,-0.08607932,0.06644062,-0.00000038,0.01963867,0.02710676,-0.02919292,-0.00970084,0.00274268,-0.00000013,0.00695816,-0.02919280
97,15.857562,0.14971412,-0.25746727,-0.34636317,0.00001303,0.60383043,0.14970338,0.02207597,-0.08766818,0.06676958,-0.00000040,0.02089860,0.02207645,-0.02886592,-0.00860862,0.00111304,-0.00000012,0.00749566,-0.02886596
98,16.034389,0.15317337,-0.27310107,-0.33454042,0.00001295,0.60764148,0.15316271,0.01698452,-0.08909791,0.06683091,-0.00000042,0.02226700,0.01698500,-0.02867767,-0.00752450,-0.00041154,-0.00000012,0.00793604,-0.02867747
99,16.213933,0.15576691,-0.28921917,-0.32254658,0.00001288,0.61176574,0.15575634,0.01185608,-0.09034969,0.06662292,-0.00000044,0.02372677,0.01185663,-0.02851526,-0.00639944,-0.00188276,-0.00000012,0.00828220,-0.02851499
100,16.395773,0.15745797,-0.30575202,-0.31046395,0.00001279,0.61621596,0.15744751,0.00667956,-0.09141056,0.06615051,-0.00000046,0.02526006,0.00668014,-0.02856600,-0.00526852,-0.00326060,-0.00000005,0.00852912,-0.02856596
101,16.579565,0.15820917,-0.32264178,-0.29835985,0.00001271,0.62100162,0.15819881,0.00141144,-0.09227603,0.06543074,-0.00000046,0.02684529,0.00141201,-0.02882436,-0.00407297,-0.00459729,-0.00000013,0.00867026,-0.02882424
102,16.764871,0.15797893,-0.33981091,-0.28631360,0.00001262,0.62612450,0.15796868,-0.00395945,-0.09291389,0.06445365,-0.00000051,0.02846023,-0.00395883,-0.02911968,-0.00278559,-0.00591849,-0.00000020,0.00870408,-0.02911948
103,16.951218,0.15673763,-0.35717347,-0.27440548,0.00001252,0.63157894,0.15672750,-0.00941097,-0.09331130,0.06323112,-0.00000054,0.03008018,-0.00941032,-0.02951948,-0.00142461,-0.00719776,-0.00000006,0.00862236,-0.02951941
104,17.138115,0.15446634,-0.37463883,-0.26271294,0.00001242,0.63735176,0.15445633,-0.01497743,-0.09344561,0.06176713,-0.00000054,0.03167848,-0.01497679,-0.03013902,0.00006104,-0.00848030,-0.00000000,0.00841926,-0.03013895
105,17.325000,0.15113933,-0.39210180,-0.25131801,0.00001232,0.64341980,0.15112944,-0.02067640,-0.09328848,0.06006133,-0.00000054,0.03322716,-0.02067573,-0.03090008,0.00170099,-0.00978950,-0.00000008,0.00808851,-0.03089985
106,17.511268,0.14675088,-0.40944970,-0.24030088,0.00001222,0.64975057,0.14674112,-0.02650788,-0.09281088,0.05811415,-0.00000057,0.03469673,-0.02650716,-0.03187103,0.00349886,-0.01112653,-0.00000009,0.00762767,-0.03187079
107,17.696239,0.14129857,-0.42655682,-0.22974377,0.00001211,0.65630058,0.14128895,-0.03250817,-0.09198957,0.05593073,-0.00000057,0.03605884,-0.03250741,-0.03315767,0.00550912,-0.01253904,-0.00000003,0.00703000,-0.03315770
