index,x,y,z,nx,ny,nz,theta
183,0.289736,0.035603,0.274734,-0.271625,0.942209,0.196116,14.417842
184,0.287010,0.034568,0.275361,-0.344939,0.917908,0.196116,14.496628
185,0.284383,0.033325,0.275987,-0.416112,0.887913,0.196116,14.575414
186,0.281870,0.031883,0.276614,-0.484704,0.852408,0.196116,14.654200
187,0.279488,0.030253,0.277241,-0.550289,0.811616,0.196116,14.732986
188,0.277249,0.028447,0.277868,-0.612460,0.765788,0.196116,14.811772
189,0.275166,0.026477,0.278495,-0.670831,0.715209,0.196116,14.890558
190,0.273252,0.024356,0.279122,-0.725040,0.660193,0.196116,14.969344
191,0.271517,0.022098,0.279749,-0.774752,0.601081,0.196116,15.048130
192,0.269971,0.019719,0.280376,-0.819656,0.538240,0.196116,15.126916
193,0.268622,0.017234,0.281003,-0.859475,0.472060,0.196116,15.205702
194,0.267477,0.014660,0.281630,-0.893963,0.402951,0.196116,15.284488
195,0.266542,0.012012,0.282257,-0.922904,0.331342,0.196116,15.363274
196,0.265822,0.009309,0.282884,-0.946119,0.257677,0.196116,15.442060
197,0.265318,0.006566,0.283511,-0.963464,0.182414,0.196116,15.520846
198,0.265034,0.003803,0.284138,-0.974832,0.106019,0.196116,15.599632
199,0.264968,0.001035,0.284765,-0.980153,0.028967,0.196116,15.678419
200,0.265121,-0.001719,0.285392,-0.979392,-0.048266,0.196116,15.757205
201,0.265489,-0.004443,0.286019,-0.972555,-0.125198,0.196116,15.835991
202,0.266068,-0.007119,0.286646,-0.959685,-0.201355,0.196116,15.914777
203,0.266854,-0.009733,0.287273,-0.940860,-0.276262,0.196116,15.993563
204,0.267840,-0.012266,0.287900,-0.916199,-0.349455,0.196116,16.072349
205,0.269018,-0.014706,0.288527,-0.885853,-0.420479,0.196116,16.151135
206,0.270381,-0.017036,0.289154,-0.850011,-0.488896,0.196116,16.229921
207,0.271917,-0.019244,0.289781,-0.808896,-0.554279,0.196116,16.308707
208,0.273616,-0.021315,0.290408,-0.762763,-0.616223,0.196116,16.387493
209,0.275466,-0.023239,0.291034,-0.711897,-0.674345,0.196116,16.466279
210,0.277455,-0.025005,0.291661,-0.656615,-0.728283,0.196116,16.545065
211,0.279570,-0.026603,0.292288,-0.597259,-0.777702,0.196116,16.623851
212,0.281795,-0.028023,0.292915,-0.534197,-0.822296,0.196116,16.702637
213,0.284117,-0.029258,0.293542,-0.467822,-0.861789,0.196116,16.781423
214,0.286520,-0.030303,0.294169,-0.398544,-0.895936,0.196116,16.860209
215,0.288989,-0.031152,0.294796,-0.326793,-0.924524,0.196116,16.938995
216,0.291507,-0.031801,0.295423,-0.253016,-0.947376,0.196116,17.017781
217,0.294059,-0.032247,0.296050,-0.177668,-0.964351,0.196116,17.096567
218,0.296628,-0.032490,0.296677,-0.101218,-0.975343,0.196116,17.175353
219,0.299199,-0.032529,0.297304,-0.024140,-0.980283,0.196116,17.254139
220,0.301755,-0.032366,0.297931,0.053088,-0.979143,0.196116,17.332925
221,0.304280,-0.032003,0.298558,0.129986,-0.971927,0.196116,17.411711
222,0.306759,-0.031445,0.299185,0.206078,-0.958682,0.196116,17.490497
223,0.309177,-0.030695,0.299812,0.280891,-0.939489,0.196116,17.569283
224,0.311519,-0.029761,0.300439,0.353962,-0.914467,0.196116,17.648069
225,0.313772,-0.028649,0.301066,0.424836,-0.883772,0.196116,17.726855
226,0.315921,-0.027367,0.301693,0.493075,-0.847594,0.196116,17.805641
227,0.317954,-0.025926,0.302320,0.558255,-0.806157,0.196116,17.884427
228,0.319859,-0.024336,0.302947,0.619972,-0.759719,0.196116,17.963213
229,0.321626,-0.022607,0.303574,0.677842,-0.708568,0.196116,18.041999
230,0.323245,-0.020751,0.304201,0.731507,-0.653021,0.196116,18.120785
231,0.324706,-0.018781,0.304828,0.780633,-0.593422,0.196116,18.199571
232,0.326002,-0.016711,0.305455,0.824917,-0.530142,0.196116,18.278357
233,0.327126,-0.014553,0.306082,0.864083,-0.463573,0.196116,18.357143
234,0.328073,-0.012323,0.306708,0.897888,-0.394127,0.196116,18.435929
235,0.328837,-0.010034,0.307335,0.926122,-0.322237,0.196116,18.514715
236,0.329416,-0.007701,0.307962,0.948611,-0.248347,0.196116,18.593501
237,0.329808,-0.005340,0.308589,0.965214,-0.172917,0.196116,18.672287
238,0.330011,-0.002965,0.309216,0.975829,-0.096414,0.196116,18.751073
239,0.330026,-0.000591,0.309843,0.980390,-0.019313,0.196116,18.829859
240,0.329854,0.001766,0.310470,0.978869,0.057908,0.196116,18.908645
241,0.329498,0.004093,0.311097,0.971275,0.134770,0.196116,18.987431
242,0.328962,0.006375,0.311724,0.957655,0.210796,0.196116,19.066217
243,0.328250,0.008598,0.312351,0.938094,0.285514,0.196116,19.145004
244,0.327369,0.010749,0.312978,0.912713,0.358460,0.196116,19.223790
245,0.326326,0.012815,0.313605,0.881669,0.429183,0.196116,19.302576
246,0.325127,0.014784,0.314232,0.845155,0.497243,0.196116,19.381362
247,0.323783,0.016643,0.314859,0.803398,0.562218,0.196116,19.460148
248,0.322303,0.018384,0.315486,0.756657,0.623705,0.196116,19.538934
249,0.320696,0.019995,0.316113,0.705222,0.681323,0.196116,19.617720
250,0.318975,0.021468,0.316740,0.649411,0.734714,0.196116,19.696506
251,0.317152,0.022795,0.317367,0.589571,0.783546,0.196116,19.775292
252,0.315237,0.023968,0.317994,0.526074,0.827517,0.196116,19.854078
253,0.313245,0.024982,0.318621,0.459312,0.866355,0.196116,19.932864
